localdatetime,icon,summary,precip,temp,time,uv,wind
2019-04-16-06-51-52,b'clear-day',0,Clear,44.25,1555411912,0,6.94
2019-04-15-20-51-39,b'partly-cloudy-night',0,Mostly Cloudy,48.04,1555375899,0,12.07
2019-04-14-23-46-14,b'rain',1,Drizzle,60.14,1555299974,0,5.37
2019-04-15-20-46-39,b'partly-cloudy-night',0,Mostly Cloudy,48.16,1555375599,0,12.15
2019-04-16-05-26-51,b'clear-night',0,Clear,44.17,1555406811,0,6.43
2019-04-15-01-11-15,b'rain',1,Light Rain,60.78,1555305075,0,9.38
2019-04-14-23-21-13,b'rain',0.99,Drizzle,60.54,1555298473,0,5.98
2019-04-16-06-36-52,b'clear-day',0,Clear,44.33,1555411012,0,8.83
2019-04-15-21-01-40,b'partly-cloudy-night',0,Mostly Cloudy,47.81,1555376500,0,11.93
2019-04-16-16-47-04,b'clear-day',0,Clear,66.21,1555447624,2,10.26
2019-04-15-22-36-42,b'partly-cloudy-night',0,Partly Cloudy,46.8,1555382202,0,7.64
2019-04-15-20-11-39,b'partly-cloudy-night',0,Mostly Cloudy,47.94,1555373499,0,12.21
2019-04-15-18-46-37,b'partly-cloudy-day',0,Mostly Cloudy,51.02,1555368397,0,11.02
2019-04-15-01-06-15,b'rain',1,Drizzle,60.59,1555304775,0,9.11
2019-04-16-11-36-58,b'clear-day',0,Clear,56.45,1555429018,6,11.45
2019-04-15-13-21-30,b'cloudy',0,Overcast,55.44,1555348890,3,14.44
2019-04-15-01-01-15,b'rain',1,Light Rain,60.4,1555304475,0,8.83
2019-04-15-12-16-29,b'partly-cloudy-day',0,Mostly Cloudy,58.33,1555344989,4,14.49
2019-04-16-09-21-55,b'clear-day',0,Clear,50.4,1555420915,2,8.78
2019-04-16-01-36-46,b'partly-cloudy-night',0,Partly Cloudy,46.41,1555393006,0,9.14
2019-04-15-10-01-26,b'clear-day',0,Clear,60.97,1555336886,3,6.28
2019-04-15-00-36-14,b'partly-cloudy-night',0,Mostly Cloudy,61.16,1555302974,0,7.56
2019-04-16-02-11-47,b'clear-night',0,Clear,46.62,1555395107,0,9.75
2019-04-16-14-12-01,b'clear-day',0,Clear,62.88,1555438321,6,12
2019-04-15-00-41-14,b'partly-cloudy-night',0,Mostly Cloudy,61.28,1555303274,0,7.81
2019-04-15-00-16-14,b'partly-cloudy-night',0,Mostly Cloudy,60.71,1555301774,0,6.62
2019-04-15-00-31-14,b'partly-cloudy-night',0,Mostly Cloudy,61.05,1555302674,0,7.32
2019-04-15-00-01-14,b'rain',0.92,Drizzle,60.37,1555300874,0,5.98
2019-04-15-13-06-30,b'cloudy',0,Overcast,55.91,1555347990,3,14.4
2019-04-15-22-56-42,b'partly-cloudy-night',0,Mostly Cloudy,47.15,1555383402,0,10.83
2019-04-15-21-56-41,b'partly-cloudy-night',0,Mostly Cloudy,47.51,1555379801,0,9.54
2019-04-16-01-51-47,b'clear-night',0,Clear,47.04,1555393907,0,9.78
2019-04-16-16-22-03,b'clear-day',0,Clear,65.42,1555446123,3,10.23
2019-04-19-18-15-04,b'partly-cloudy-day',0,Partly Cloudy,70.99,1555712104,0,11.51
2019-04-15-02-16-16,b'partly-cloudy-night',0.02,Mostly Cloudy,63.78,1555308976,0,11.58
2019-04-16-02-21-47,b'clear-night',0,Clear,46.49,1555395707,0,9.76
2019-04-16-14-22-01,b'clear-day',0,Clear,63.5,1555438921,6,11.97
2019-04-16-02-46-48,b'clear-night',0,Clear,46.45,1555397208,0,8.77
2019-04-15-12-21-29,b'partly-cloudy-day',0,Mostly Cloudy,58.2,1555345289,4,14.65
2019-04-16-13-07-00,b'clear-day',0,Clear,59.85,1555434420,7,11.77
2019-04-15-22-11-41,b'partly-cloudy-night',0,Partly Cloudy,47.31,1555380701,0,9.27
2019-04-15-21-26-40,b'partly-cloudy-night',0,Mostly Cloudy,47.63,1555378000,0,11.58
2019-04-16-10-41-57,b'clear-day',0,Clear,54.15,1555425717,5,11.43
2019-04-16-10-46-57,b'clear-day',0,Clear,54.63,1555426017,5,11.44
2019-04-15-06-21-21,b'rain',1,Light Rain,60.23,1555323681,0,6.85
2019-04-15-21-11-40,b'partly-cloudy-night',0,Mostly Cloudy,47.82,1555377100,0,11.71
2019-04-16-14-07-01,b'clear-day',0,Clear,62.75,1555438021,6,12.01
2019-04-16-02-06-47,b'clear-night',0,Clear,46.69,1555394807,0,9.75
2019-04-15-08-51-24,b'partly-cloudy-day',0.08,Partly Cloudy,60.63,1555332684,2,3.11
2019-04-17-18-07-34,b'partly-cloudy-day',0,Partly Cloudy,57.7,1555538854,0,8.62
2019-04-16-09-11-55,b'clear-day',0,Clear,49.88,1555420315,2,8.76
2019-04-16-04-31-50,b'clear-night',0,Clear,44.33,1555403510,0,6.93
2019-04-15-21-36-40,b'partly-cloudy-night',0,Partly Cloudy,47.25,1555378600,0,10.15
2019-04-15-22-26-42,b'partly-cloudy-night',0,Partly Cloudy,47.12,1555381602,0,8.94
2019-04-15-05-16-20,b'rain',1,Rain,64.49,1555319780,0,8.16
2019-04-16-14-02-01,b'clear-day',0,Clear,62.62,1555437721,7,12.03
2019-04-16-08-16-54,b'clear-day',0,Clear,46.88,1555417014,1,7.52
2019-04-15-21-16-40,b'partly-cloudy-night',0,Mostly Cloudy,47.76,1555377400,0,11.67
2019-04-16-07-46-53,b'clear-day',0,Clear,45.9,1555415213,0,6.76
2019-04-15-08-06-23,b'partly-cloudy-day',0,Mostly Cloudy,60.51,1555329983,1,2.92
2019-04-15-04-21-19,b'rain',0.87,Drizzle,65.97,1555316479,0,11.13
2019-04-15-17-31-36,b'partly-cloudy-day',0,Mostly Cloudy,52.46,1555363896,1,12.98
2019-04-14-23-06-13,b'cloudy',0.3,Overcast,60.39,1555297573,0,5.61
2019-04-15-14-51-32,b'partly-cloudy-day',0,Mostly Cloudy,55.32,1555354292,3,11.94
2019-04-16-06-41-52,b'clear-day',0,Clear,44.26,1555411312,0,6.76
2019-04-15-17-01-35,b'partly-cloudy-day',0,Mostly Cloudy,52.84,1555362095,1,12.59
2019-04-15-19-46-38,b'rain',0.99,Drizzle,48.59,1555371998,0,12.58
2019-04-15-23-26-43,b'partly-cloudy-night',0,Mostly Cloudy,46.76,1555385203,0,10.81
2019-04-16-13-47-00,b'clear-day',0,Clear,62.12,1555436820,7,11.99
2019-04-15-20-06-39,b'partly-cloudy-night',0,Mostly Cloudy,48.03,1555373199,0,12.22
2019-04-16-08-26-54,b'clear-day',0,Clear,47.33,1555417614,1,7.74
2019-04-15-21-21-40,b'partly-cloudy-night',0,Mostly Cloudy,47.69,1555377700,0,11.62
2019-04-16-09-01-55,b'clear-day',0,Clear,49.35,1555419715,2,8.95
2019-04-16-07-51-53,b'clear-day',0,Clear,46.07,1555415513,1,6.9
2019-04-14-22-46-12,b'cloudy',0,Overcast,60.22,1555296372,0,5.2
2019-04-15-20-41-39,b'partly-cloudy-night',0,Partly Cloudy,46.93,1555375299,0,11.37
2019-04-15-16-36-34,b'wind',0,Breezy and Mostly Cloudy,52.65,1555360594,2,18.12
2019-04-16-12-31-59,b'clear-day',0,Clear,58.97,1555432319,7,12.95
2019-04-15-18-16-36,b'partly-cloudy-day',0,Mostly Cloudy,51.68,1555366596,0,9.91
2019-04-16-01-56-47,b'clear-night',0,Clear,47.03,1555394207,0,9.74
2019-04-16-11-26-58,b'clear-day',0,Clear,56.08,1555428418,6,11.31
2019-04-16-10-31-56,b'clear-day',0,Clear,54.13,1555425116,4,11.77
2019-04-15-17-16-35,b'partly-cloudy-day',0,Mostly Cloudy,52.71,1555362995,1,12.93
2019-04-15-16-41-35,b'wind',0,Breezy and Mostly Cloudy,52.55,1555360895,2,18.14
2019-04-15-19-16-38,b'partly-cloudy-day',0.03,Mostly Cloudy,50.08,1555370198,0,11.39
2019-04-15-17-06-35,b'partly-cloudy-day',0,Mostly Cloudy,52.76,1555362395,1,12.6
2019-04-16-10-06-56,b'clear-day',0,Clear,52.82,1555423616,4,12.2
2019-04-16-12-26-59,b'clear-day',0,Clear,58.77,1555432019,7,12.94
2019-04-15-12-11-29,b'partly-cloudy-day',0.09,Mostly Cloudy,58.46,1555344689,4,14.36
2019-04-15-11-01-28,b'rain',1,Rain,62.64,1555340488,4,9.82
2019-04-16-12-01-58,b'clear-day',0,Clear,57.74,1555430518,7,12.93
2019-04-16-07-21-53,b'clear-day',0,Clear,44.9,1555413713,0,7.49
2019-04-15-17-46-36,b'partly-cloudy-day',0,Mostly Cloudy,52.41,1555364796,1,9.87
2019-04-16-01-46-47,b'clear-night',0,Clear,47.05,1555393607,0,9.81
2019-04-16-09-06-55,b'clear-day',0,Clear,49.62,1555420015,2,8.83
2019-04-15-08-31-24,b'partly-cloudy-day',0,Mostly Cloudy,61.53,1555331484,1,0.83
2019-04-15-17-36-36,b'partly-cloudy-day',0,Mostly Cloudy,52.37,1555364196,1,12.99
2019-04-16-16-27-03,b'clear-day',0,Clear,65.49,1555446423,3,10.18
2019-04-16-07-26-53,b'clear-day',0,Clear,45.05,1555414013,0,7.6
2019-04-15-16-11-34,b'wind',0,Breezy and Mostly Cloudy,53.23,1555359094,2,19.54
2019-04-16-07-11-53,b'clear-day',0,Clear,44.61,1555413113,0,7.29
2019-04-15-07-51-23,b'partly-cloudy-day',0,Mostly Cloudy,59.89,1555329083,1,3.55
2019-04-16-14-57-02,b'clear-day',0,Clear,64.02,1555441022,5,11.8
2019-04-15-04-26-19,b'rain',1,Rain,65.96,1555316779,0,11.25
2019-04-16-08-36-54,b'clear-day',0,Clear,47.78,1555418214,1,7.97
2019-04-15-09-41-26,b'partly-cloudy-day',0,Partly Cloudy,62.49,1555335686,3,8.18
2019-04-16-13-32-00,b'clear-day',0,Clear,60.74,1555435920,7,11.94
2019-04-16-09-26-55,b'clear-day',0,Clear,50.67,1555421215,3,8.86
2019-04-15-21-06-40,b'partly-cloudy-night',0,Mostly Cloudy,47.88,1555376800,0,11.75
2019-04-16-16-17-03,b'clear-day',0,Clear,65.34,1555445823,3,10.28
2019-04-17-18-37-35,b'partly-cloudy-day',0,Partly Cloudy,55.65,1555540655,0,8.52
2019-04-15-00-56-15,b'cloudy',0,Overcast,60.28,1555304175,0,8.61
2019-04-15-03-21-17,b'partly-cloudy-night',0,Mostly Cloudy,64.68,1555312877,0,11.94
2019-04-16-05-11-51,b'clear-night',0,Clear,44.35,1555405911,0,6.22
2019-04-15-18-36-37,b'partly-cloudy-day',0,Mostly Cloudy,51.19,1555367797,0,9.46
2019-04-15-21-46-41,b'partly-cloudy-night',0,Mostly Cloudy,47.67,1555379201,0,9.61
2019-04-16-08-46-54,b'clear-day',0,Clear,48.39,1555418814,2,8.97
2019-04-15-06-26-21,b'rain',1,Light Rain,60.24,1555323981,0,6.85
2019-04-16-18-12-05,b'clear-day',0,Clear,65.08,1555452725,0,11.29
2019-04-15-09-56-26,b'clear-day',0,Clear,60.88,1555336586,3,5.95
2019-04-17-15-32-31,b'partly-cloudy-day',0,Partly Cloudy,63.24,1555529551,4,6.68
2019-04-15-05-21-20,b'rain',1,Rain,64.5,1555320080,0,7.79
2019-04-17-23-22-41,b'cloudy',0,Overcast,51.01,1555557761,0,3.46
2019-04-16-05-16-51,b'clear-night',0,Clear,44.34,1555406211,0,6.3
2019-04-17-12-57-28,b'partly-cloudy-day',0,Mostly Cloudy,59.95,1555520248,5,3.17
2019-04-15-05-56-21,b'rain',1,Rain,60.2,1555322181,0,6.64
2019-04-18-05-42-48,b'rain',0.88,Drizzle,51.07,1555580568,0,5.24
2019-04-19-13-09-56,b'partly-cloudy-day',0,Mostly Cloudy,73.98,1555693796,6,8.63
2019-04-15-05-26-20,b'rain',1,Rain,64.52,1555320380,0,7.43
2019-04-17-23-37-41,b'cloudy',0,Overcast,50.92,1555558661,0,3.72
2019-04-17-02-52-17,b'cloudy',0,Overcast,50.71,1555483937,0,3.9
2019-04-15-23-46-43,b'partly-cloudy-night',0,Mostly Cloudy,47.23,1555386403,0,11.97
2019-04-18-07-42-51,b'cloudy',0,Overcast,50.93,1555587771,0,7.88
2019-04-18-03-42-46,b'cloudy',0,Overcast,52.02,1555573366,0,4.13
2019-04-15-21-51-41,b'partly-cloudy-night',0,Mostly Cloudy,47.59,1555379501,0,9.58
2019-04-15-14-06-32,b'cloudy',0,Overcast,55.2,1555351592,3,16.39
2019-04-15-04-06-18,b'cloudy',0,Overcast,65.97,1555315578,0,10.79
2019-04-16-15-17-02,b'clear-day',0,Clear,64.42,1555442222,5,11.67
2019-04-16-21-22-09,b'cloudy',0,Overcast,58.81,1555464129,0,8.27
2019-04-15-06-46-22,b'rain',1,Light Rain,59.29,1555325182,0,5.83
2019-04-18-10-37-54,b'cloudy',0,Overcast,53.07,1555598274,3,7.44
2019-04-16-14-47-01,b'clear-day',0,Clear,64.46,1555440421,6,11.84
2019-04-17-18-22-35,b'partly-cloudy-day',0,Partly Cloudy,56.85,1555539755,0,8.65
2019-04-15-11-21-28,b'rain',1,Light Rain,62.15,1555341688,4,9.49
2019-04-15-18-21-37,b'partly-cloudy-day',0,Mostly Cloudy,51.56,1555366897,0,9.98
2019-04-15-11-31-28,b'rain',0.69,Drizzle,62.29,1555342288,4,10.52
2019-04-14-22-56-12,b'cloudy',0.21,Overcast,60.3,1555296972,0,5.39
2019-04-17-16-37-32,b'clear-day',0,Clear,59.82,1555533452,2,7.67
2019-04-15-02-31-17,b'partly-cloudy-night',0,Mostly Cloudy,64.39,1555309877,0,12.1
2019-04-15-09-11-25,b'partly-cloudy-day',0,Partly Cloudy,61.29,1555333885,2,5.81
2019-04-19-04-04-45,b'clear-night',0.09,Clear,58.65,1555661085,0,8.54
2019-04-16-22-32-11,b'rain',1,Drizzle,56.82,1555468331,0,8.42
2019-04-15-04-11-18,b'cloudy',0,Overcast,65.97,1555315878,0,10.9
2019-04-16-00-26-45,b'partly-cloudy-night',0,Mostly Cloudy,46.69,1555388805,0,11
2019-04-15-13-16-30,b'cloudy',0,Overcast,55.59,1555348590,3,14.41
2019-04-15-12-41-30,b'rain',1,Light Rain,57.66,1555346490,4,15.61
2019-04-16-13-12-00,b'clear-day',0,Clear,60.03,1555434720,7,11.81
2019-04-14-23-26-13,b'cloudy',0.6,Overcast,60.36,1555298773,0,6.86
2019-04-18-15-02-59,b'partly-cloudy-day',0,Mostly Cloudy,56.43,1555614179,4,6.36
2019-04-16-19-42-07,b'clear-night',0,Clear,61.93,1555458127,0,9.45
2019-04-17-03-47-18,b'rain',1,Light Rain,50.42,1555487238,0,3.22
2019-04-17-15-17-31,b'partly-cloudy-day',0,Partly Cloudy,63.09,1555528651,4,6.33
2019-04-16-18-27-06,b'clear-day',0,Clear,64.64,1555453626,0,10.89
2019-04-16-19-07-07,b'clear-day',0,Clear,63.19,1555456027,0,10.08
2019-04-17-22-12-39,b'partly-cloudy-night',0,Mostly Cloudy,50.98,1555553559,0,2.87
2019-04-16-15-42-03,b'clear-day',0,Clear,64.66,1555443723,4,10.6
2019-04-18-13-57-58,b'partly-cloudy-day',0,Mostly Cloudy,54.07,1555610278,4,5.15
2019-04-18-20-18-06,b'partly-cloudy-night',0,Partly Cloudy,57.17,1555633086,0,3.83
2019-04-17-22-42-40,b'partly-cloudy-night',0.27,Mostly Cloudy,51.43,1555555360,0,2.93
2019-04-17-20-52-38,b'partly-cloudy-night',0,Mostly Cloudy,51.22,1555548758,0,6.54
2019-04-16-12-41-59,b'clear-day',0,Clear,59.38,1555432919,7,12.95
2019-04-19-03-09-44,b'rain',0.72,Drizzle,58.08,1555657784,0,6.12
2019-04-15-10-26-27,b'clear-day',0,Clear,61.86,1555338387,4,8.2
2019-04-16-14-27-01,b'clear-day',0,Clear,63.66,1555439221,6,11.96
2019-04-17-13-52-29,b'partly-cloudy-day',0,Partly Cloudy,60.47,1555523549,6,4.08
2019-04-16-11-06-57,b'clear-day',0,Clear,55.6,1555427217,5,12.01
2019-04-19-02-34-43,b'clear-night',0,Clear,57.9,1555655683,0,6.4
2019-04-18-07-02-50,b'cloudy',0,Overcast,51.17,1555585370,0,5.87
2019-04-17-04-02-18,b'rain',1,Light Rain,50.27,1555488138,0,3.11
2019-04-17-16-47-33,b'clear-day',0,Clear,60.18,1555534053,2,6.58
2019-04-16-03-21-48,b'clear-night',0,Clear,45.84,1555399308,0,8.36
2019-04-15-20-01-38,b'partly-cloudy-night',0,Mostly Cloudy,48.09,1555372898,0,12.38
2019-04-16-21-12-09,b'cloudy',0,Overcast,59.1,1555463529,0,8.29
2019-04-15-22-46-42,b'partly-cloudy-night',0,Mostly Cloudy,47.28,1555382802,0,11.03
2019-04-16-17-22-04,b'clear-day',0,Clear,65.9,1555449724,1,9.73
2019-04-16-06-06-52,b'clear-night',0,Clear,44.38,1555409212,0,8.95
2019-04-19-08-29-51,b'partly-cloudy-day',0,Partly Cloudy,63.76,1555676991,1,7.81
2019-04-16-02-51-48,b'clear-night',0,Clear,46.39,1555397508,0,8.73
2019-04-15-21-31-40,b'partly-cloudy-night',0,Partly Cloudy,47.56,1555378300,0,11.53
2019-04-18-18-58-05,b'partly-cloudy-day',0,Partly Cloudy,58.58,1555628285,0,3.48
2019-04-16-05-01-50,b'clear-night',0,Clear,44.53,1555405310,0,6.12
2019-04-15-06-51-22,b'rain',1,Light Rain,59.23,1555325482,0,6.29
