center_freq,average,start,end,congestion,start,end
155312000.0,-4.37941925,2019-05-01 05:45:50,2019-05-01 05:46:50,,,
155312000.0,-6.869188937037037,2019-05-01 05:46:40,2019-05-01 05:47:40,,,
155312000.0,-6.880434843333335,2019-05-01 05:47:30,2019-05-01 05:48:30,,,
155312000.0,-6.914988233333334,2019-05-01 05:48:20,2019-05-01 05:49:20,,,
155312000.0,-7.622762156666665,2019-05-01 05:49:10,2019-05-01 05:50:10,,,
155312000.0,-7.372622786206896,2019-05-01 05:50:00,2019-05-01 05:51:00,,,
155312000.0,-7.167129983333335,2019-05-01 05:50:50,2019-05-01 05:51:50,,,
155312000.0,-7.64659609,2019-05-01 05:51:40,2019-05-01 05:52:40,,,
155312000.0,-7.847386873333333,2019-05-01 05:52:30,2019-05-01 05:53:30,,,
155312000.0,-8.244116720000001,2019-05-01 05:53:20,2019-05-01 05:54:20,,,
155312000.0,-8.382727465517242,2019-05-01 05:54:10,2019-05-01 05:55:10,,,
155312000.0,-7.556018973333334,2019-05-01 05:55:00,2019-05-01 05:56:00,,,
155312000.0,-7.851719813333335,2019-05-01 05:55:50,2019-05-01 05:56:50,,,
155312000.0,-7.0069871233333325,2019-05-01 05:56:40,2019-05-01 05:57:40,,,
155312000.0,-7.615805993103447,2019-05-01 05:57:30,2019-05-01 05:58:30,,,
155312000.0,-7.7334048200000005,2019-05-01 05:58:20,2019-05-01 05:59:20,,,
155312000.0,-7.722308350000002,2019-05-01 05:59:10,2019-05-01 06:00:10,,,
155312000.0,-7.455277853333333,2019-05-01 06:00:00,2019-05-01 06:01:00,,,
155312000.0,-7.019903853333335,2019-05-01 06:00:50,2019-05-01 06:01:50,,,
155312000.0,-7.028750427586207,2019-05-01 06:01:40,2019-05-01 06:02:40,,,
155312000.0,-7.138850126666668,2019-05-01 06:02:30,2019-05-01 06:03:30,,,
155312000.0,-7.597820869999999,2019-05-01 06:03:20,2019-05-01 06:04:20,,,
155312000.0,-7.2863766,2019-05-01 06:04:10,2019-05-01 06:05:10,,,
155312000.0,-7.593405889655173,2019-05-01 06:05:00,2019-05-01 06:06:00,,,
155312000.0,-7.2296234620689654,2019-05-01 06:05:50,2019-05-01 06:06:50,,,
155312000.0,-7.53659924,2019-05-01 06:06:40,2019-05-01 06:07:40,,,
155312000.0,-8.046407626666667,2019-05-01 06:07:30,2019-05-01 06:08:30,,,
155312000.0,-8.371528593333334,2019-05-01 06:08:20,2019-05-01 06:09:20,,,
155312000.0,-8.123232813793102,2019-05-01 06:09:10,2019-05-01 06:10:10,,,
155312000.0,-7.884962613333331,2019-05-01 06:10:00,2019-05-01 06:11:00,,,
155312000.0,-7.469083636666666,2019-05-01 06:10:50,2019-05-01 06:11:50,,,
155312000.0,-7.686451596666666,2019-05-01 06:11:40,2019-05-01 06:12:40,,,
155312000.0,-8.187261800000002,2019-05-01 06:12:30,2019-05-01 06:13:30,,,
155312000.0,-8.403091296551723,2019-05-01 06:13:20,2019-05-01 06:14:20,,,
155312000.0,-8.110541976666667,2019-05-01 06:14:10,2019-05-01 06:15:10,,,
155312000.0,-8.276878790000001,2019-05-01 06:15:00,2019-05-01 06:16:00,,,
155312000.0,-8.22463509,2019-05-01 06:15:50,2019-05-01 06:16:50,,,
155312000.0,-7.885078103448273,2019-05-01 06:16:40,2019-05-01 06:17:40,,,
155312000.0,-7.820139124137931,2019-05-01 06:17:30,2019-05-01 06:18:30,,,
155312000.0,-8.022472603333334,2019-05-01 06:18:20,2019-05-01 06:19:20,,,
155312000.0,-7.8210662766666665,2019-05-01 06:19:10,2019-05-01 06:20:10,,,
155312000.0,-7.833777853333334,2019-05-01 06:20:00,2019-05-01 06:21:00,,,
155312000.0,-8.677630883333332,2019-05-01 06:20:50,2019-05-01 06:21:50,,,
155312000.0,-8.442567634482758,2019-05-01 06:21:40,2019-05-01 06:22:40,,,
155312000.0,-7.817491106666667,2019-05-01 06:22:30,2019-05-01 06:23:30,,,
155312000.0,-8.215313109999999,2019-05-01 06:23:20,2019-05-01 06:24:20,,,
155312000.0,-8.141198593333334,2019-05-01 06:24:10,2019-05-01 06:25:10,,,
155312000.0,-7.733890658620688,2019-05-01 06:25:00,2019-05-01 06:26:00,,,
155312000.0,-8.296730003448275,2019-05-01 06:25:50,2019-05-01 06:26:50,,,
155312000.0,-7.853119273333333,2019-05-01 06:26:40,2019-05-01 06:27:40,,,
155312000.0,-8.329595486666667,2019-05-01 06:27:30,2019-05-01 06:28:30,,,
155312000.0,-7.517306029999999,2019-05-01 06:28:20,2019-05-01 06:29:20,,,
155312000.0,-7.725148962068966,2019-05-01 06:29:10,2019-05-01 06:30:10,,,
155312000.0,-8.310294726666665,2019-05-01 06:30:00,2019-05-01 06:31:00,,,
155312000.0,-8.54428596,2019-05-01 06:30:50,2019-05-01 06:31:50,,,
155312000.0,-8.307131683333333,2019-05-01 06:31:40,2019-05-01 06:32:40,,,
155312000.0,-7.784950503448275,2019-05-01 06:32:30,2019-05-01 06:33:30,,,
155312000.0,-8.434385086206897,2019-05-01 06:33:20,2019-05-01 06:34:20,,,
155312000.0,-8.237414390000001,2019-05-01 06:34:10,2019-05-01 06:35:10,,,
155312000.0,-7.362472100000001,2019-05-01 06:35:00,2019-05-01 06:36:00,,,
155312000.0,-8.08760877,2019-05-01 06:35:50,2019-05-01 06:36:50,,,
155312000.0,-8.016821272413795,2019-05-01 06:36:40,2019-05-01 06:37:40,,,
155312000.0,-7.80925265,2019-05-01 06:37:30,2019-05-01 06:38:30,,,
155312000.0,-7.678306803333332,2019-05-01 06:38:20,2019-05-01 06:39:20,,,
155312000.0,-8.109171456666665,2019-05-01 06:39:10,2019-05-01 06:40:10,,,
155312000.0,-8.670507213333334,2019-05-01 06:40:00,2019-05-01 06:41:00,,,
155312000.0,-8.376899875862069,2019-05-01 06:40:50,2019-05-01 06:41:50,,,
155312000.0,-7.815878993333333,2019-05-01 06:41:40,2019-05-01 06:42:40,,,
155312000.0,-7.988057443333333,2019-05-01 06:42:30,2019-05-01 06:43:30,,,
155312000.0,-4.746933783333334,2019-05-01 06:43:20,2019-05-01 06:44:20,4.0,2019-05-01 06:43:20,2019-05-01 06:44:20
155312000.0,-4.130238081333333,2019-05-01 06:44:10,2019-05-01 06:45:10,4.0,2019-05-01 06:44:10,2019-05-01 06:45:10
155312000.0,-6.824562068965516,2019-05-01 06:45:00,2019-05-01 06:46:00,,,
155312000.0,-6.644258439999999,2019-05-01 06:45:50,2019-05-01 06:46:50,,,
155312000.0,-6.1819768800000015,2019-05-01 06:46:40,2019-05-01 06:47:40,,,
155312000.0,-6.4693073866666655,2019-05-01 06:47:30,2019-05-01 06:48:30,,,
155312000.0,-3.3214705299999996,2019-05-01 06:48:20,2019-05-01 06:49:20,5.0,2019-05-01 06:48:20,2019-05-01 06:49:20
155312000.0,-6.9965411862068985,2019-05-01 06:49:10,2019-05-01 06:50:10,,,
155312000.0,4.568592263333333,2019-05-01 06:50:00,2019-05-01 06:51:00,15.0,2019-05-01 06:50:00,2019-05-01 06:51:00
155312000.0,10.14212875,2019-05-01 06:50:50,2019-05-01 06:51:50,22.0,2019-05-01 06:50:50,2019-05-01 06:51:50
155312000.0,-5.328928629999999,2019-05-01 06:51:40,2019-05-01 06:52:40,3.0,2019-05-01 06:51:40,2019-05-01 06:52:40
155312000.0,-7.73300587586207,2019-05-01 06:52:30,2019-05-01 06:53:30,,,
155312000.0,-7.530428062068967,2019-05-01 06:53:20,2019-05-01 06:54:20,,,
155312000.0,-7.312558593333334,2019-05-01 06:54:10,2019-05-01 06:55:10,,,
155312000.0,-7.730934463333333,2019-05-01 06:55:00,2019-05-01 06:56:00,,,
155312000.0,-8.147549373333336,2019-05-01 06:55:50,2019-05-01 06:56:50,,,
155312000.0,-7.485683444827587,2019-05-01 06:56:40,2019-05-01 06:57:40,,,
155312000.0,-7.142982816666665,2019-05-01 06:57:30,2019-05-01 06:58:30,1.0,2019-05-01 06:57:30,2019-05-01 06:58:30
155312000.0,7.3298991199999985,2019-05-01 06:58:20,2019-05-01 06:59:20,14.0,2019-05-01 06:58:20,2019-05-01 06:59:20
155312000.0,10.288475046666669,2019-05-01 06:59:10,2019-05-01 07:00:10,20.0,2019-05-01 06:59:10,2019-05-01 07:00:10
155312000.0,-1.426468693103448,2019-05-01 07:00:00,2019-05-01 07:01:00,9.0,2019-05-01 07:00:00,2019-05-01 07:01:00
155312000.0,-1.6737488137931036,2019-05-01 07:00:50,2019-05-01 07:01:50,9.0,2019-05-01 07:00:50,2019-05-01 07:01:50
155312000.0,-7.754285043333332,2019-05-01 07:01:40,2019-05-01 07:02:40,,,
155312000.0,-7.504057559999999,2019-05-01 07:02:30,2019-05-01 07:03:30,,,
155312000.0,-7.780791390000001,2019-05-01 07:03:20,2019-05-01 07:04:20,,,
155312000.0,-7.838376393103449,2019-05-01 07:04:10,2019-05-01 07:05:10,,,
155312000.0,9.589737233333333,2019-05-01 07:05:00,2019-05-01 07:06:00,21.0,2019-05-01 07:05:00,2019-05-01 07:06:00
155312000.0,5.899164943333333,2019-05-01 07:05:50,2019-05-01 07:06:50,16.0,2019-05-01 07:05:50,2019-05-01 07:06:50
155312000.0,-6.565114776666666,2019-05-01 07:06:40,2019-05-01 07:07:40,4.0,2019-05-01 07:06:40,2019-05-01 07:07:40
155312000.0,-7.667037858620688,2019-05-01 07:07:30,2019-05-01 07:08:30,,,
155312000.0,-7.676331448275864,2019-05-01 07:08:20,2019-05-01 07:09:20,,,
155312000.0,-8.285844753333333,2019-05-01 07:09:10,2019-05-01 07:10:10,,,
155312000.0,-8.26195887,2019-05-01 07:10:00,2019-05-01 07:11:00,,,
155312000.0,-7.744519910000002,2019-05-01 07:10:50,2019-05-01 07:11:50,,,
155312000.0,-8.286448531034482,2019-05-01 07:11:40,2019-05-01 07:12:40,,,
155312000.0,-7.323544776666666,2019-05-01 07:12:30,2019-05-01 07:13:30,,,
155312000.0,-8.058037213333332,2019-05-01 07:13:20,2019-05-01 07:14:20,,,
155312000.0,-7.937930773333334,2019-05-01 07:14:10,2019-05-01 07:15:10,,,
155312000.0,-7.3233947566666675,2019-05-01 07:15:00,2019-05-01 07:16:00,,,
155312000.0,-7.704914072413794,2019-05-01 07:15:50,2019-05-01 07:16:50,,,
155312000.0,-8.214614233333334,2019-05-01 07:16:40,2019-05-01 07:17:40,,,
155312000.0,-8.12695584333333,2019-05-01 07:17:30,2019-05-01 07:18:30,,,
155312000.0,-8.238362473333332,2019-05-01 07:18:20,2019-05-01 07:19:20,,,
155312000.0,-7.826529717241379,2019-05-01 07:19:10,2019-05-01 07:20:10,,,
155312000.0,-7.994094520000001,2019-05-01 07:20:00,2019-05-01 07:21:00,,,
155312000.0,-8.666908639999997,2019-05-01 07:20:50,2019-05-01 07:21:50,,,
155312000.0,-7.399298676666666,2019-05-01 07:21:40,2019-05-01 07:22:40,,,
155312000.0,-7.905937986666667,2019-05-01 07:22:30,2019-05-01 07:23:30,,,
155312000.0,-7.756225710344826,2019-05-01 07:23:20,2019-05-01 07:24:20,,,
155312000.0,-7.986318173333332,2019-05-01 07:24:10,2019-05-01 07:25:10,,,
155312000.0,-7.990695470000001,2019-05-01 07:25:00,2019-05-01 07:26:00,,,
155312000.0,-8.176725103333332,2019-05-01 07:25:50,2019-05-01 07:26:50,,,
155312000.0,-7.883018572413795,2019-05-01 07:26:40,2019-05-01 07:27:40,,,
155312000.0,-7.953959769999999,2019-05-01 07:27:30,2019-05-01 07:28:30,,,
155312000.0,-7.506650456666665,2019-05-01 07:28:20,2019-05-01 07:29:20,,,
155312000.0,-7.61525097333333,2019-05-01 07:29:10,2019-05-01 07:30:10,,,
155312000.0,-7.038525786666666,2019-05-01 07:30:00,2019-05-01 07:31:00,,,
155312000.0,-7.655436465517242,2019-05-01 07:30:50,2019-05-01 07:31:50,,,
155312000.0,-7.749367126666666,2019-05-01 07:31:40,2019-05-01 07:32:40,,,
155312000.0,-8.04772503666667,2019-05-01 07:32:30,2019-05-01 07:33:30,,,
155312000.0,-7.369888523333334,2019-05-01 07:33:20,2019-05-01 07:34:20,,,
155312000.0,-7.177638848275864,2019-05-01 07:34:10,2019-05-01 07:35:10,,,
155312000.0,-7.913664724137932,2019-05-01 07:35:00,2019-05-01 07:36:00,,,
155312000.0,-6.750722823333333,2019-05-01 07:35:50,2019-05-01 07:36:50,,,
155312000.0,-6.436761133333334,2019-05-01 07:36:40,2019-05-01 07:37:40,,,
