localdatetime,predict
2019-04-27-09-06,0.15078574419021606
2019-04-27-09-07,0.14582684636116028
2019-04-27-09-08,0.1593693643808365
2019-04-27-09-09,0.1414921134710312
2019-04-27-09-10,0.14232614636421204
2019-04-27-09-11,0.14574991166591644
2019-04-27-09-12,0.15963712334632874
2019-04-27-09-13,0.14468373358249664
2019-04-27-09-14,0.15516620874404907
2019-04-27-09-15,0.15065166354179382
2019-04-27-09-16,0.14776165783405304
2019-04-27-09-17,0.18059833347797394
2019-04-27-09-18,0.17328597605228424
2019-04-27-09-19,0.1518554836511612
2019-04-27-09-20,0.16090789437294006
2019-04-27-09-21,0.1558712124824524
2019-04-27-09-22,0.15566906332969666
2019-04-27-09-23,0.1629137247800827
2019-04-27-09-24,0.16977135837078094
2019-04-27-09-25,0.16957977414131165
2019-04-27-09-26,0.16043615341186523
2019-04-27-09-27,0.17106255888938904
2019-04-27-09-28,0.1641521006822586
2019-04-27-09-29,0.16936954855918884
2019-04-27-09-30,0.1702776700258255
2019-04-27-09-31,0.17459642887115479
2019-04-27-09-32,0.17759256064891815
2019-04-27-09-33,0.18580077588558197
2019-04-27-09-34,0.2004644274711609
2019-04-27-09-35,0.1907002329826355
2019-04-27-09-36,0.17714722454547882
2019-04-27-09-37,0.18892668187618256
2019-04-27-09-38,0.18035933375358582
2019-04-27-09-39,0.1828107386827469
2019-04-27-09-40,0.1845186948776245
2019-04-27-09-41,0.18989698588848114
2019-04-27-09-42,0.18885885179042816
2019-04-27-09-43,0.17456045746803284
2019-04-27-09-44,0.18667075037956238
2019-04-27-09-45,0.1763862818479538
2019-04-27-09-46,0.18226531147956848
2019-04-27-09-47,0.20083509385585785
2019-04-27-09-48,0.1933428943157196
2019-04-27-09-49,0.19706813991069794
2019-04-27-09-50,0.20471510291099548
2019-04-27-09-51,0.21769215166568756
2019-04-27-09-52,0.20634768903255463
2019-04-27-09-53,0.1899736076593399
2019-04-27-09-54,0.19223539531230927
2019-04-27-09-55,0.1976533830165863
2019-04-27-09-56,0.20438644289970398
2019-04-27-09-57,0.22418193519115448
2019-04-27-09-58,0.19166916608810425
2019-04-27-09-59,0.2108481526374817
2019-04-27-10-00,0.20702379941940308
2019-04-27-10-01,0.21673180162906647
2019-04-27-10-02,0.19671836495399475
2019-04-27-10-03,0.19552484154701233
2019-04-27-10-04,0.20130540430545807
2019-04-27-10-05,0.19783085584640503
2019-04-27-10-06,0.2097993642091751
2019-04-27-10-07,0.20755568146705627
2019-04-27-10-08,0.21271808445453644
2019-04-27-10-09,0.22272889316082
2019-04-27-10-10,0.20366162061691284
2019-04-27-10-11,0.21277722716331482
2019-04-27-10-12,0.20948442816734314
2019-04-27-10-13,0.2234087437391281
2019-04-27-10-14,0.2086474597454071
2019-04-27-10-15,0.21888083219528198
2019-04-27-10-16,0.22166332602500916
2019-04-27-10-17,0.21010398864746094
2019-04-27-10-18,0.21841634809970856
2019-04-27-10-19,0.2039901167154312
2019-04-27-10-20,0.2192920595407486
2019-04-27-10-21,0.21865099668502808
2019-04-27-10-22,0.2123357206583023
2019-04-27-10-23,0.2042100429534912
2019-04-27-10-24,0.23579567670822144
2019-04-27-10-25,0.21250680088996887
2019-04-27-10-26,0.21489526331424713
2019-04-27-10-27,0.2167186588048935
2019-04-27-10-28,0.1404004842042923
2019-04-27-10-29,0.1795281171798706
2019-04-27-10-30,0.2355869710445404
2019-04-27-10-31,0.2084803432226181
2019-04-27-10-32,0.15847527980804443
2019-04-27-10-33,0.22781360149383545
2019-04-27-10-34,0.2263539582490921
2019-04-27-10-35,0.2223663181066513
2019-04-27-10-36,0.23094522953033447
2019-04-27-10-37,0.2164648324251175
2019-04-27-10-38,0.20784892141819
2019-04-27-10-39,0.2275504618883133
2019-04-27-10-40,0.21723635494709015
2019-04-27-10-41,0.22689995169639587
